"Score";"Treatment"
5;"Extrinsic"
5.40000009536743;"Extrinsic"
6.09999990463257;"Extrinsic"
10.8999996185303;"Extrinsic"
11.8000001907349;"Extrinsic"
12;"Extrinsic"
12.3000001907349;"Extrinsic"
14.8000001907349;"Extrinsic"
15;"Extrinsic"
16.7999992370605;"Extrinsic"
17.2000007629395;"Extrinsic"
17.2000007629395;"Extrinsic"
17.3999996185303;"Extrinsic"
17.5;"Extrinsic"
18.5;"Extrinsic"
18.7000007629395;"Extrinsic"
18.7000007629395;"Extrinsic"
19.2000007629395;"Extrinsic"
19.5;"Extrinsic"
20.7000007629395;"Extrinsic"
21.2000007629395;"Extrinsic"
22.1000003814697;"Extrinsic"
24;"Extrinsic"
12;"Intrinsic"
12;"Intrinsic"
12.8999996185303;"Intrinsic"
13.6000003814697;"Intrinsic"
16.6000003814697;"Intrinsic"
17.2000007629395;"Intrinsic"
17.5;"Intrinsic"
18.2000007629395;"Intrinsic"
19.1000003814697;"Intrinsic"
19.2999992370605;"Intrinsic"
19.7999992370605;"Intrinsic"
20.2999992370605;"Intrinsic"
20.5;"Intrinsic"
20.6000003814697;"Intrinsic"
21.2999992370605;"Intrinsic"
21.6000003814697;"Intrinsic"
22.1000003814697;"Intrinsic"
22.2000007629395;"Intrinsic"
22.6000003814697;"Intrinsic"
23.1000003814697;"Intrinsic"
24;"Intrinsic"
24.2999992370605;"Intrinsic"
26.7000007629395;"Intrinsic"
29.7000007629395;"Intrinsic"
